1768,OSALMIDA
1769,METANIAZIDA
177,FITOMENADIONA
1770,HIDROMORFONA
1772,TROCLOSENO DE POTASIO
1773,MOFEBUTAZONA
1774,DIFENHIDRAMINA
1775,NICEVERINA
1776,OCTAMOXINA
1777,BROMURO DE XENITROPIO
1778,QUINESTRADOL
1779,DIMECAMINA
1780,FENHARMANO
1781,DISULFIRAM
1782,DOXILAMINA
1783,ETACRIDINA
1784,EMBRAMINA
1786,IODURO DE HEXASONIO
1788,IODURO DE OXISONIO
1789,CARBENOXOLONA
179,CLOROPIRAMINA
1790,DOSULEPINA
1791,MOXASTINA
1792,MEFESERPINA
1793,IODURO DE TIAMETONIO
1794,ENOXOLONA
1795,CLOREXOLONA
1796,DEHIDROEMETINA
1797,PROXAZOL
1798,MELADRAZINA
18,PARETOXICAINA
180,IBROTAMIDA
1800,ETOXAZORUTOSIDO
1801,FLUSPIRILENO
1803,ACIDO IOGLICAMICO
1804,GLIMIDINA DE SODIO
1805,NAFTALOFOS
1806,PENGITOXINA
1807,SINCLOSENO
1808,NEUTRAMICINA
1809,RELOMICINA
181,DIBEMETINA
1810,EMBONATO DE PARAROSANILINA
1811,CANSILATO DE AMOXIDRAMINA
1812,DITOLAMIDA
1813,MENGLITATO
1814,METESCUFILINA
1815,GLIBUZOL
1818,ATROMEPINA
1819,ALGESTONA
1820,EUCATROPINA
1821,FENACLON
1824,FOSFESTROL
1825,GUANISOQUINA
1826,GUANOXANO
1827,GUANOCLORO
1828,CIPENAMINA
1829,SELENOMETIONINA (75SE)
183,CLORPROMAZINA
1831,TRAMAZOLINA
1832,VISNADINA
1834,NIFENAZONA
1836,CARBAMAZEPINA
1837,BAMIFILINA
1838,OPIPRAMOL
1839,TESTOLACTONA
1840,PROQUINOLATO
1841,SANCICLINA
1842,ANTELMICINA
1843,CLORURO DE CETALCONIO
1844,FENAMISAL
1846,CLORETATO
1848,BENORTERONA
1849,TIROMEDAN
185,INYECTABLE DE INSULINA CINC PROTAMINA
1850,PERHEXILINA
1852,MEDROGESTONA
1853,CLOTIXAMIDA
1854,IPRINDOL
1855,DOXEPINA
1856,NORBOLETONA
1857,CLOMETERONA
1858,PENTETATO CALCIO Y TRISODIO
1859,MEBUTIZIDA
186,AUROTIOGLICANIDA
1860,FENETAZINA
1861,SALICILAMIDA
1862,PIPERAMIDA
1863,OXAMARINA
1865,ANISACRILO
1866,ACIDO OXOLINICO
1868,SULFANITRAN
1869,TIAMIPRINA
187,CLORURO DE EDROFONIO
1870,CODOXIMA
1871,LAURATO DE SORBITAN
1872,PALMITATO DE SORBITAN
1873,ESTEARATO DE SORBITAN
1874,TRIESTEARATO DE SORBITAN
1875,OLEATO DE SORBITAN
1876,TRIOLEATO DE SORBITAN
1877,SESQUIOLEATO DE SORBITAN
1879,METANFETAMINA
1880,METAFENILENO
1881,METIODAL DE SODIO
1882,METANDRIOL
1883,METAPIRILENO
1884,ESTER DEL MACROGOL
1885,MERALURIDA
1887,ACEGLUTAMIDA
1888,DIARBARONA
1889,BROMURO DE DEDITONIO
1890,GLAFENINA
1891,HIMECROMONA
1892,MIRTECAINA
1894,FENERITROL
1895,SULCLAMIDA
1896,TRIMETOZINA
1897,DESASPIDINA
1899,AMPIZINA
19,IPRONIAZIDA
1900,TESTOSTERONA
1902,TRIAMPIZINA
1903,ETAMSILATO
1904,FLUOCORTOLONA
1905,SALVERINA
1907,HEXACETONIDO DE TRIAMCINOLONA
1908,CLAMOXIQUINA
1909,QUINGESTANOL
191,KELOSIDO
1911,PROADIFENO
1912,TOLICAINA
1913,TENILIDONA
1918,CLORURO DE FURAZOLIO
1919,FOLITROPINA ALFA
192,KELINA
1920,ANTIENITA
1921,ACEPROMETAZINA
1922,IODAMIDA
1923,PELIOMICINA
1925,LIDOFLAZINA
1926,ETOMIDATO
1927,BENCIDAMINA
1928,TRIETIODURO DE GALAMINA
1929,FLAVOXATO
1930,KETOCAINA
1932,CACTINOMICINA
1933,SULFOMIXINA
1935,INYECTABLE NEUTRO DE INSULINA
1936,GLUCOSULFAMIDA
1937,BROMURO DE DIPONIO
1938,SALICILATO DE COLINA
1939,GLUCOSULFONA
194,FUROSTILBESTROL
1940,PROPRANOLOL
1941,PROPOXATO
1942,BEZITRAMIDA
1943,PORFIROMICINA
1944,PREDNAZATO
1946,GLIHEXAMIDA
1947,HEXEDINA
1949,BENHEPAZONA
195,MERCAPTAMINA
